section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
25813,LITR,202D,01,Discussion Section,F 1.30-2.20,F 1:30pm-2:20pm,,F 1:30pm-2:20pm,"{'Friday': ('13:30', '14:20', '')}"
25815,LITR,202D,02,Discussion Section,Th 10.30-11.20,Th 10:30am-11:20am,,Th 10:30am-11:20am,"{'Thursday': ('10:30', '11:20', '')}"
25514,LITR,214D,01,Discussion Section,,,,,{}
25517,LITR,214D,02,Discussion Section,Th 2.30-3.20,Th 2:30pm-3:20pm,,Th 2:30pm-3:20pm,"{'Thursday': ('14:30', '15:20', '')}"
25520,LITR,214D,03,Discussion Section,Th 2.30-3.20,Th 2:30pm-3:20pm,,Th 2:30pm-3:20pm,"{'Thursday': ('14:30', '15:20', '')}"
25523,LITR,214D,04,Discussion Section,,,,,{}
25875,LITR,214D,05,Discussion Section,F 10.30-11.20,F 10:30am-11:20am,,F 10:30am-11:20am,"{'Friday': ('10:30', '11:20', '')}"
25894,LITR,214D,06,Discussion Section,,,,,{}
25265,LITR,339D,01,Discussion Section,F 9.00-9.50,F 9:00am-9:50am,,F 9:00am-9:50am,"{'Friday': ('9:00', '9:50', '')}"
25269,LITR,339D,02,Discussion Section,F 11.00-11.50,F 11:00am-11:50am,,F 11:00am-11:50am,"{'Friday': ('11:00', '11:50', '')}"
25273,LITR,339D,03,Discussion Section,,,,,{}
26461,LITR,339D,04,Discussion Section,,,,,{}
25262,LITR,340D,01,Discussion Section,Th 7.00-7.50p,Th 7:00pm-7:50pm,,Th 7:00pm-7:50pm,"{'Thursday': ('19:00', '19:50', '')}"
26176,MB&B,105D,01,Discussion Section,W 2.30-3.20,W 2:30pm-3:20pm,,W 2:30pm-3:20pm,"{'Wednesday': ('14:30', '15:20', '')}"
26178,MB&B,105D,02,Discussion Section,W 2.30-3.20,W 2:30pm-3:20pm,,W 2:30pm-3:20pm,"{'Wednesday': ('14:30', '15:20', '')}"
26180,MB&B,105D,03,Discussion Section,W 4.00-4.50,W 4:00pm-4:50pm,,W 4:00pm-4:50pm,"{'Wednesday': ('16:00', '16:50', '')}"
